"DisplayName","Direction","Action","Protocol","LocalPort"
"Experiencias del usuario y telemetr?a asociadas","Outbound","Allow",,
"Optimizaci?n de entrega (TCP de entrada)","Inbound","Allow",,
"Optimizaci?n de entrega (UDP de entrada)","Inbound","Allow",,
"Enrutador AllJoyn (TCP de entrada)","Inbound","Allow",,
"Enrutador AllJoyn (TCP de salida)","Outbound","Allow",,
"Enrutador AllJoyn (UDP de entrada)","Inbound","Allow",,
"Enrutador AllJoyn (UDP de salida)","Outbound","Allow",,
"Servidor de protocolo DIAL (HTTP-In)","Inbound","Allow",,
"Servidor de protocolo DIAL (HTTP-In)","Inbound","Allow",,
"Servicio de inscripci?n de administraci?n de dispositivos Windows (TCP saliente)","Outbound","Allow",,
"Administraci?n remota de Windows (HTTP de entrada)","Inbound","Allow",,
"Administraci?n remota de Windows (HTTP de entrada)","Inbound","Allow",,
"Escritorio remoto - Modo usuario (TCP de entrada)","Inbound","Allow",,
"Escritorio remoto - Modo usuario (UDP de entrada)","Inbound","Allow",,
"Escritorio remoto - instant?nea (TCP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming HTTP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming HTTP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming HTTP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTCP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTCP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTCP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTP de salida)","Outbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTP de salida)","Outbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTP de salida)","Outbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTSP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTSP de entrada)","Inbound","Allow",,
"Servidor de streaming de Transmitir en dispositivo (streaming RTSP de entrada)","Inbound","Allow",,
"Detecci?n de SSDP de Transmitir en dispositivo (UDP entrante)","Inbound","Allow",,
"Eventos UPnP de Transmitir en dispositivo (TCP entrante)","Inbound","Allow",,
"Funcionalidad de transmitir en dispositivo (qWave-UDP de entrada)","Inbound","Allow",,
"Funcionalidad de transmitir en dispositivo (qWave-UDP de salida)","Outbound","Allow",,
"Funcionalidad de transmitir en dispositivo (qWave-TCP de entrada)","Inbound","Allow",,
"Funcionalidad de transmitir en dispositivo (qWave-TCP de salida)","Outbound","Allow",,
"Instalador del certificado de administraci?n de dispositivos Windows (TCP saliente)","Outbound","Allow",,
"Cliente de sincronizaci?n de administraci?n de dispositivos Windows (TCP saliente)","Outbound","Allow",,
"Redes principales: destino inaccesible (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: paquete demasiado grande (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: paquete demasiado grande (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: tiempo superado (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: tiempo superado (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: problema de par?metro (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: problema de par?metro (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: solicitud de detecci?n de vecinos (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: solicitud de detecci?n de vecinos (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: anuncio de detecci?n de vecinos (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: anuncio de detecci?n de vecinos (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: anuncio de enrutador (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: anuncio de enrutador (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: solicitud de enrutador (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: solicitud de enrutador (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: consulta de escucha de multidifusi?n (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: consulta de escucha de multidifusi?n (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: informe de escucha de multidifusi?n (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: informe de escucha de multidifusi?n (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: informe de escucha de multidifusi?n v2 (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: informe de escucha de multidifusi?n v2 (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: escucha de multidifusi?n finalizada (ICMPv6 de entrada)","Inbound","Allow",,
"Redes principales: escucha de multidifusi?n finalizada (ICMPv6 de salida)","Outbound","Allow",,
"Redes principales: destino inaccesible fragment. necesaria (ICMPv4 de entrada)","Inbound","Allow",,
"Redes principales: Protocolo de admin. de grupo de Internet (IGMP de entrada)","Inbound","Allow",,
"Redes principales: Protocolo de adminis. de grupo de Internet (IGMP de salida)","Outbound","Allow",,
"Redes principales: Protocolo de configurac. din?mica de host (DHCP de entrada)","Inbound","Allow",,
"Redes principales: Protocolo de configurac. din?mica de host (DHCP de salida)","Outbound","Allow",,
"Redes principales: Protocolo de conf. din?mica de host para IPv6 (DHCPV6 de entrada)","Inbound","Allow",,
"Redes principales: Protocolo de conf. din?mica de host para IPv6 (DHCPV6 de salida)","Outbound","Allow",,
"Redes principales: Teredo (UDP de entrada)","Inbound","Allow",,
"Redes principales: Teredo (UDP de salida)","Outbound","Allow",,
"Redes principales: IPHTTPS (TCP de entrada)","Inbound","Allow",,
"Redes principales: IPHTTPS (TCP de salida)","Outbound","Allow",,
"Redes principales: IPv6 (IPv6 de entrada)","Inbound","Allow",,
"Redes principales: IPv6 (IPv6 de salida)","Outbound","Allow",,
"Redes principales: directiva de grupo (NP de salida)","Outbound","Allow",,
"Redes principales: directiva de grupo (TCP de salida)","Outbound","Allow",,
"Redes principales: DNS (UDP de salida)","Outbound","Allow",,
"Redes principales: directiva de grupo (LSASS de salida)","Outbound","Allow",,
"mDNS (UDP de entrada)","Inbound","Allow",,
"mDNS (UDP de entrada)","Inbound","Allow",,
"mDNS (UDP de entrada)","Inbound","Allow",,
"mDNS (UDP de salida)","Outbound","Allow",,
"mDNS (UDP de salida)","Outbound","Allow",,
"mDNS (UDP de salida)","Outbound","Allow",,
"Agregar una cuenta profesional o educativa","Outbound","Allow",,
"Agregar una cuenta profesional o educativa","Inbound","Allow",,
"Tu cuenta","Outbound","Allow",,
"Tu cuenta","Inbound","Allow",,
"Experiencia del shell de Windows","Outbound","Allow",,
"Cortana","Outbound","Allow",,
"Cortana","Inbound","Allow",,
"Detecci?n de redes (Pub-WSD de salida)","Outbound","Allow",,
"Detecci?n de redes (Pub-WSD de entrada)","Inbound","Allow",,
"Detecci?n de redes (LLMNR-UDP de salida)","Outbound","Allow",,
"Detecci?n de redes (LLMNR-UDP de entrada)","Inbound","Allow",,
"Detecci?n de redes (WSD de salida)","Outbound","Allow",,
"Detecci?n de redes (WSD de entrada)","Inbound","Allow",,
"Detecci?n de redes (UPnPHost de salida)","Outbound","Allow",,
"Detecci?n de redes (SSDP de salida)","Outbound","Allow",,
"Detecci?n de redes (SSDP de entrada)","Inbound","Allow",,
"Detecci?n de redes (Eventos de WSD de salida)","Outbound","Allow",,
"Detecci?n de redes (Eventos de WSD de entrada)","Inbound","Allow",,
"Detecci?n de redes (Eventos seguros WSD de salida)","Outbound","Allow",,
"Detecci?n de redes (Eventos seguros WSD de entrada)","Inbound","Allow",,
"Detecci?n de redes (datagrama NB de salida)","Outbound","Allow",,
"Detecci?n de redes (datagrama NB de entrada)","Inbound","Allow",,
"Detecci?n de redes (nombre NB de salida)","Outbound","Allow",,
"Detecci?n de redes (nombre NB de entrada)","Inbound","Allow",,
"Detecci?n de redes (UPnP de salida)","Outbound","Allow",,
"Detecci?n de redes (UPnP de entrada)","Inbound","Allow",,
"Seguridad de Windows","Outbound","Allow",,
"Seguridad de Windows","Inbound","Allow",,
"Experiencia del shell de Windows","Outbound","Allow",,
"Inicio r?pido del Narrador","Outbound","Allow",,
"SmartScreen de Windows Defender ","Outbound","Allow",,
"Visor web de aplicaci?n de escritorio","Outbound","Allow",,
"Visor web de aplicaci?n de escritorio","Inbound","Allow",,
"Pantalla de bloqueo predeterminada de Windows","Outbound","Allow",,
"Correo electr?nico y cuentas","Outbound","Allow",,
"Flujo del portal cautivo","Outbound","Allow",,
"Shell Input Application","Outbound","Allow",,
"Agregar una cuenta profesional o educativa","Outbound","Allow",,
"Agregar una cuenta profesional o educativa","Inbound","Allow",,
"Tu cuenta","Outbound","Allow",,
"Tu cuenta","Inbound","Allow",,
"Experiencia del shell de Windows","Outbound","Allow",,
"Cortana","Outbound","Allow",,
"Cortana","Inbound","Allow",,
"Seguridad de Windows","Outbound","Allow",,
"Seguridad de Windows","Inbound","Allow",,
"Experiencia del shell de Windows","Outbound","Allow",,
"Inicio r?pido del Narrador","Outbound","Allow",,
"SmartScreen de Windows Defender ","Outbound","Allow",,
"Visor web de aplicaci?n de escritorio","Outbound","Allow",,
"Visor web de aplicaci?n de escritorio","Inbound","Allow",,
"Pantalla de bloqueo predeterminada de Windows","Outbound","Allow",,
"Correo electr?nico y cuentas","Outbound","Allow",,
"Shell Input Application","Outbound","Allow",,
"Flujo del portal cautivo","Outbound","Allow",,
"RDP Puerto Alternativo","Inbound","Allow",,
"RDP-Hardened","Inbound","Allow",,
"ICMP-Lab","Inbound","Allow",,
"BLOCK-RDP-3389","Inbound","Block",,
